,Rk,Player_ID,YR,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSCR
165,112,denglu01,2010,Luol Deng,SF,25,CHI,82,82,39.1,6.5,14.1,0.46,1.4,4.1,0.345,5.1,10.0,0.506,0.51,3.1,4.1,0.753,1.4,4.4,5.8,2.8,1.0,0.6,1.9,2.0,17.4,9.51
166,113,derozde01,2010,DeMar DeRozan,SG,21,TOR,82,82,34.8,6.6,14.1,0.467,0.1,0.6,0.096,6.5,13.4,0.485,0.469,4.0,4.9,0.813,0.9,2.9,3.8,1.8,1.0,0.4,1.8,2.6,17.2,7.82
167,114,diawbo01,2010,Boris Diaw,PF,28,CHA,82,82,33.9,4.6,9.4,0.492,1.0,2.8,0.345,3.7,6.7,0.553,0.543,1.0,1.5,0.683,1.3,3.8,5.0,4.1,0.9,0.6,2.0,2.3,11.3,8.68
170,117,doolike01,2010,Keyon Dooling,PG,30,MIL,80,22,22.0,2.6,6.5,0.397,1.0,2.9,0.346,1.6,3.6,0.439,0.475,1.0,1.2,0.83,0.2,1.3,1.5,3.0,0.7,0.1,1.1,1.5,7.1,4.52
172,119,douglto01,2010,Toney Douglas,SG,24,NYK,81,9,24.3,3.9,9.3,0.416,1.8,4.7,0.373,2.1,4.6,0.46,0.511,1.0,1.3,0.794,0.8,2.2,3.0,3.0,1.1,0.0,1.1,2.2,10.6,7.17
173,120,douglch01,2010,Chris Douglas-Roberts,SF,24,MIL,44,12,20.1,2.7,6.2,0.429,0.3,1.0,0.326,2.3,5.2,0.449,0.456,1.7,2.0,0.831,0.2,1.8,2.0,1.1,0.7,0.3,0.8,1.7,7.3,3.56
176,122,dragigo01,2010,Goran Dragi?,PG,24,PHO,48,2,17.8,2.8,6.6,0.421,0.6,2.1,0.277,2.2,4.5,0.488,0.465,1.2,2.0,0.608,0.5,1.3,1.8,3.1,0.8,0.1,2.0,1.9,7.4,3.97
178,123,dudleja01,2010,Jared Dudley,SF,25,PHO,82,15,26.1,3.7,7.7,0.477,1.3,3.1,0.415,2.4,4.6,0.519,0.56,2.0,2.7,0.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6,6.62
179,124,duhonch01,2010,Chris Duhon,PG,28,ORL,51,5,15.2,1.0,2.5,0.38,0.3,1.0,0.25,0.7,1.5,0.468,0.43,0.3,0.5,0.56,0.2,0.8,1.0,2.3,0.3,0.0,1.2,0.6,2.5,1.62
180,125,duncati01,2010,Tim Duncan,C,34,SAS,76,76,28.4,5.5,11.0,0.5,0.0,0.1,0.0,5.5,11.0,0.502,0.5,2.4,3.4,0.716,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4,9.38
181,126,dunlemi02,2010,Mike Dunleavy,SG,30,IND,61,44,27.6,3.9,8.5,0.462,1.7,4.2,0.402,2.3,4.4,0.519,0.56,1.6,2.0,0.8,0.5,4.1,4.5,1.7,0.7,0.5,1.1,1.8,11.2,6.88
183,128,duranke01,2010,Kevin Durant,SF,22,OKC,78,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,12.11
185,130,ellinwa01,2010,Wayne Ellington,SG,23,MIN,62,8,19.0,2.6,6.4,0.403,0.8,2.0,0.397,1.8,4.5,0.406,0.463,0.7,0.9,0.792,0.4,1.3,1.7,1.2,0.5,0.0,0.9,1.4,6.6,3.3
186,131,ellismo01,2010,Monta Ellis,SG,25,GSW,80,80,40.3,9.1,20.1,0.451,1.7,4.7,0.361,7.4,15.4,0.478,0.493,4.3,5.4,0.789,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5,24.1,12.14
187,132,elsonfr01,2010,Francisco Elson,C,34,UTA,62,1,9.8,0.9,1.8,0.478,0.0,0.0,0.0,0.9,1.8,0.478,0.478,0.4,0.5,0.839,0.6,1.3,1.9,0.5,0.3,0.2,0.5,1.4,2.2,1.91
192,135,evansje01,2010,Jeremy Evans,SF,23,UTA,49,3,9.4,1.6,2.3,0.661,0.0,0.0,0.0,1.6,2.3,0.667,0.661,0.5,0.8,0.703,0.7,1.2,2.0,0.5,0.3,0.3,0.4,1.0,3.6,3.16
194,136,evansma01,2010,Maurice Evans,SF,32,ATL,47,12,17.8,1.7,4.3,0.393,0.6,1.9,0.315,1.1,2.4,0.455,0.463,0.5,0.6,0.857,0.5,1.3,1.8,0.6,0.3,0.1,0.3,1.6,4.5,2.91
197,138,evansty01,2010,Tyreke Evans,SG,21,SAC,57,53,37.0,6.7,16.4,0.409,0.8,2.6,0.291,5.9,13.8,0.432,0.432,3.6,4.7,0.771,0.8,4.0,4.8,5.6,1.5,0.5,3.2,2.5,17.8,8.31
199,140,eyengch01,2010,Christian Eyenga,SF,21,CLE,44,18,21.5,3.0,7.0,0.425,0.6,2.1,0.275,2.4,4.9,0.488,0.466,0.4,0.6,0.643,0.6,2.2,2.8,0.8,0.8,0.6,1.1,1.8,6.9,3.82
200,141,farmajo01,2010,Jordan Farmar,PG,24,NJN,73,18,24.6,3.5,8.9,0.392,1.5,4.2,0.359,2.0,4.8,0.421,0.475,1.1,1.4,0.82,0.3,2.0,2.4,5.0,0.8,0.1,1.9,1.8,9.6,6.37
202,142,favorde01,2010,Derrick Favors,PF,19,NJN,56,23,19.5,2.5,4.9,0.511,0.0,0.0,0.0,2.5,4.9,0.511,0.511,1.3,2.1,0.612,2.3,3.1,5.3,0.4,0.3,0.7,1.0,3.3,6.3,5.21
205,143,feltora01,2010,Raymond Felton,PG,26,NYK,54,54,38.4,6.3,14.8,0.423,1.6,5.0,0.328,4.6,9.9,0.471,0.478,2.9,3.4,0.867,0.7,2.9,3.6,9.0,1.8,0.2,3.3,2.1,17.1,11.21
207,144,fernaru01,2010,Rudy Fernández,SG,25,POR,78,3,23.3,2.7,7.4,0.37,1.5,4.6,0.321,1.2,2.7,0.453,0.471,1.6,1.9,0.863,0.5,1.7,2.2,2.5,1.1,0.2,1.1,1.7,8.6,4.92
208,145,fesenky01,2010,Kyrylo Fesenko,C,24,UTA,53,1,8.6,0.8,1.9,0.44,0.0,0.0,0.0,0.8,1.9,0.444,0.44,0.3,0.9,0.391,0.6,1.4,2.0,0.3,0.1,0.3,0.5,1.7,2.0,1.53
209,146,fieldla01,2010,Landry Fields,SG,22,NYK,82,81,31.0,3.6,7.3,0.497,1.0,2.7,0.393,2.6,4.7,0.556,0.568,1.4,1.8,0.769,1.3,5.1,6.4,1.9,1.0,0.2,1.3,1.4,9.7,6.39
210,147,fishede01,2010,Derek Fisher,PG,36,LAL,82,82,28.0,2.5,6.5,0.389,0.8,1.9,0.396,1.7,4.5,0.386,0.449,1.0,1.3,0.806,0.2,1.7,1.9,2.7,1.2,0.1,0.9,2.3,6.8,4.45
211,148,flynnjo01,2010,Jonny Flynn,PG,21,MIN,53,8,18.5,2.0,5.6,0.365,0.6,1.9,0.31,1.5,3.7,0.393,0.417,0.6,0.8,0.762,0.2,1.2,1.5,3.4,0.6,0.1,2.1,1.1,5.3,2.55
212,149,forbega01,2010,Gary Forbes,SF,25,DEN,63,11,12.6,2.0,4.3,0.454,0.3,0.9,0.328,1.7,3.4,0.488,0.489,0.9,1.4,0.678,0.4,1.4,1.8,0.8,0.4,0.1,0.7,1.2,5.2,2.76
214,151,fosteje01,2010,Jeff Foster,C,34,IND,56,3,16.8,1.4,3.0,0.479,0.0,0.1,0.0,1.4,2.9,0.488,0.479,0.5,0.9,0.563,2.9,3.4,6.3,0.8,0.4,0.6,0.5,2.3,3.3,4.63
215,152,foyera01,2010,Randy Foye,SG,27,LAC,63,24,24.6,3.3,8.4,0.388,1.1,3.4,0.327,2.1,5.0,0.43,0.455,2.1,2.4,0.893,0.2,1.4,1.6,2.7,0.7,0.3,1.5,1.9,9.8,4.94
216,153,fryech01,2010,Channing Frye,PF,27,PHO,77,64,33.0,4.6,10.8,0.432,2.2,5.7,0.39,2.4,5.1,0.479,0.535,1.2,1.4,0.832,0.8,5.8,6.7,1.2,0.6,1.0,0.9,3.5,12.7,8.54
225,156,gallida01,2010,Danilo Gallinari,PF,22,NYK,48,48,34.8,4.4,10.6,0.415,1.7,5.0,0.347,2.7,5.6,0.474,0.496,5.4,6.0,0.893,1.0,3.8,4.8,1.7,0.8,0.4,1.2,2.4,15.9,7.61
227,157,garcifr01,2010,Francisco García,SF,29,SAC,58,34,23.9,3.6,8.2,0.436,1.4,3.9,0.362,2.2,4.3,0.502,0.521,1.1,1.3,0.855,0.4,1.9,2.3,1.2,0.9,0.8,0.8,2.2,9.7,6.2
